added Japan\Gunma at 36.50747,138.98235 for isolate 3506
added Kazakhstan\Gvardeyskiy at 43.57611,75.2125 for isolate 3516
added South Korea\Gwangju at 35.15472,126.91556 for isolate 3517
added South Korea\Gyeonggi at 37.7415,127.0474 for isolate 3526
added South Korea\Gyeongnam at 37.43639,127.05611 for isolate 3528
added Cuba\Habana at 23.13302,-82.38304 for isolate 3537
added Russia\Habarovsk at 48.48083,135.09278 for isolate 3588
added China\Haikou at 20.04583,110.34167 for isolate 3596
added China\Hainan-Sanya at 18.24306,109.505 for isolate 3597
added China\Hainan at 19.2,109.6 for isolate 3599
added China\Haishu at 29.85,121.54667 for isolate 3603
added Germany\Hamburg at 53.55,10.0 for isolate 3604
added Iran\Hamedan at 34.79922,48.51456 for isolate 3608
added China\Hanfang at 25.5,115.08333 for isolate 3610
added China\Hangzhou at 30.25528,120.16889 for isolate 3623
added Germany\Hannover at 52.37052,9.73322 for isolate 3636
added China\Hebei-Xinhua at 38.06667,114.46806 for isolate 3749
added China\Hebei-Xinshi at 38.85,115.44 for isolate 3750
added China\Hebei-Yuhua at 38.0,114.53611 for isolate 3755
added China\Heilongjiang-Daoli at 45.65022,126.60154 for isolate 3756
added China\Heilongjiang-Hailin at 44.58333,129.41667 for isolate 3757
added China\Heilongjiang-Longsha at 47.27976,124.05479 for isolate 3758
added China\Heilongjiang-Nangang at 45.65022,126.66613 for isolate 3759
added China\Heilongjiang-Xiangfang at 45.61884,126.68274 for isolate 3771
added China\Henan-Jinshui at 34.81167,113.66833 for isolate 3778
added China\Henan-Xigong at 34.68694,112.42306 for isolate 3780
added China\Henan-Zhongyuan at 34.76333,113.60222 for isolate 3782
added China\Henan at 34.0,114.0 for isolate 3783
added Germany\Hessen at 50.5,9.25 for isolate 3790
added Japan\Himeji at 34.81667,134.7 for isolate 3792
added Japan\Hiroshima at 34.39627,132.45937 for isolate 3793
added Japan\Hokkaido at 43.06451,141.3466 for isolate 3801
added China\Huairou at 52.41667,126.3 for isolate 4003
added China\Hualong at 25.67775,116.95539 for isolate 4004
added China\Hubei-Hongshan at 30.56327,114.35647 for isolate 4008
added China\Hubei-Maojian at 32.58586,110.82345 for isolate 4017
added China\Hubei-Shashi at 30.30722,112.24472 for isolate 4023
added China\Hubei-Wuchang at 30.61093,114.35327 for isolate 4027
